Bad Feelings,Business,Sports,Places,Good Feeling,Politics,Social,Technology,Nature,Culture,Leisure
mierda,ncia,gt,barcelona,gracias,1,gente,amp,tiempo,iheartawards,bar
puta,dgt,final,catalunya,bien,krls,tendencia,xd,sol,bestfanarmy,night
pena,dgtbarcelona,nou,spain,vida,puigdemont,foto,plus,wind,sant,noches
culo,trabajo,real,france,siempre,pp,trending,pk,humidity,btsarmy,felicidades
peor,cia,equipo,mundo,love,tots,trndnl,go,temporada,324cat,dormir
odio,cnicatalunya,camp,madrid,feliz,gabrielrufian,like,youtube,mar,dios,nit
vergonya,dinero,club,bcn,quiero,junqueras,tendance,mwc18,temperature,lavanguardia,gallifantes
joder,work,messi,world,verdad,155,hola,video,park,programa,domingo
mala,job,nadal,home,bueno,president,new,digital,camino,navidad,bravo
puto,entrevista,gol,europa,good,inesarrimadas,twitter,mobile,luz,elperiodico,felicitats
asco,metro,jugar,prat,buenos,partido,gent,online,sky,bts,drinking
miedo,guardiacivil,team,llobregat,happy,elnacionalcat,topic,mwc2018,clouds,historia,comer
triste,trabajar,cupnacional,badalona,buenas,rajoy,madre,,weather,art,escuchar
malo,euros,marca,hospitalet,gusta,21d,persona,,,tv3,rien
merda,b10,fcbarcelona,pueblo,amor,amarillo,personas,,,rt,tothom
fuck,empresa,ganar,city,buena,psoe,photo,,,diariara,show
cojones,omnium,visca,calle,bona,gobierno,fan,,,elle,travel
,hiring,match,carrer,thanks,miqueliceta,familia,,,sagrada,comprar
,google,liga,lugar,great,votar,people,,,amaia,fiesta
,empresas,,paris,jajaja,adacolau,hombre,,,tv3cat,sala
,,,ciudad,best,beatriztalegon,amigos,,,got,salvameoficial
,,,hotel,jajajaja,govern,publicar,,,palau,enhorabuena
,,,gracia,encanta,catalanes,mujer,,,juego,dissabte
,,,pais,thank,catalana,fotos,,,santa,concierto
,,,,merci,marianorajoy,tweet,,,leer,disfrutar
,,,,super,ciudadanoscs,tweets,,,libro,
,,,,life,espanya,social,,,naciodigital,
,,,,live,mossos,instagram,,,aitana,
,,,,lol,presos,poble,,,tv,
,,,,please,ppopular,mujeres,,,music,
,,,,genial,espanyol,amigo,,,alfred,
,,,,amazing,catalans,look,,,ot,
,,,,mejores,catalonia,top,,,cepeda,
,,,,queremos,jornada,palabras,,,news,
,,,,bonito,llibertat,contigo,,,article,
,,,,beautiful,podemos,persones,,,reyes,
,,,,amo,jordi,trends,,,media,
,,,,vivir,parlament,compartir,,,arte,
,,,,viva,policia,amiga,,,vilaweb,
,,,,bonita,ciudadanos,friends,,,cultura,
,,,,abrazo,juntsxcat,facebook,,,christmas,
,,,,guapa,democracia,fotografias,,,escola,
,,,,nice,arrimadas,photographs,,,raholaoficial,
,,,,interesante,partit,momentos,,,im,
,,,,jajajajaja,justicia,defensa,,,albanodante76,
,,,,wow,psc,fuerza,,,game,
,,,,gratis,cat,regalo,,,gana,
,,,,,presidente,apoyo,,,noticia,
,,,,,black,link,,,voz,
,,,,,voto,,,,abrahammateo,
,,,,,electoral,,,,birthday,
,,,,,rey,,,,okdiario,
,,,,,elecciones,,,,mondiari,
,,,,,derecho,,,,elmundoes,
,,,,,libertad,,,,serie,
,,,,,sanchezcastejon,,,,rac1,
,,,,,zoidoji,,,,concert,
,,,,,rogertorrent,,,,,
,,,,,respeto,,,,,
,,,,,internacional,,,,,
,,,,,nacional,,,,,
,,,,,partidos,,,,,
,,,,,llibertatpresospolitics,,,,,
,,,,,independentistas,,,,,
,,,,,ciutadanscs,,,,,
,,,,,assemblea,,,,,
,,,,,joantarda,,,,,
,,,,,eleccions,,,,,
,,,,,sorayapp,,,,,
,,,,,iceta,,,,,
,,,,,independentista,,,,,
,,,,,xavierdomenechs,,,,,
,,,,,psg,,,,,
,,,,,cs,,,,,
,,,,,colau,,,,,
,,,,,catalan,,,,,
,,,,,generalitat,,,,,
,,,,,independencia,,,,,
,,,,,pablo,,,,,
,,,,,sistema,,,,,
,,,,,rojo,,,,,
,,,,,indepes,,,,,
,,,,,campanya,,,,,
,,,,,joseprull,,,,,
